ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000144426	NBEAL1	-0.0472829506578309	1.15738737471694	2.36205770009172	0.0596954916783839	37.5211261456524	7.11854082506012e-09	0.614639011164011	0.97126861244803	94.6696695823141	18.7605630728262	0.594153955297464	1	0.226101007421377	3
ENSG00000100644	HIF1A	-0.134676929831063	3.26086716163481	6.65641125310069	0.0598053040680088	1418.86557327187	7.89324317523248e-309	1.73245228904689	8.97862386805987	99.8590423196055	709.432786635934	0.594375408511923	1	0.225939167229488	3
ENSG00000100650	SRSF5	-2.3217095144961	-1.13645978615225	0.0487899421916034	0.0602057942616247	58.3871760333698	2.09597364459832e-13	0.604730361217324	0.859626760180129	96.5745902852761	29.1935880166849	0.595919532524321	1	0.224812379420813	3
ENSG00000152582	SPEF2	-12.2750179096577	-6.00497081934677	0.265076270964133	0.060503927382217	32314.33130577	0	3.1990624010279	30.6979837833094	99.9938107956464	16157.165652885	0.596726539465465	1	0.224224646440984	3
ENSG00000132842	AP3B1	-0.0333858735282369	0.742123097298503	1.51763206812524	0.0607120130958424	35.9991029914741	1.52368119875833e-08	0.395675112881592	0.377021312610648	94.4443060137535	17.999551495737	0.597265427383447	1	0.223832623594042	3
ENSG00000104408	EIF3E	-0.0731627057690294	1.49627394606596	3.06571059790095	0.0616790431070429	73.7767915517273	9.54054684441714e-17	0.800747699556984	1.84300346755051	97.2891203887638	36.8883957758636	0.600085022927094	1	0.221787212329533	3
ENSG00000134352	IL6ST	-0.0794638005566877	1.65344549621057	3.38635479297783	0.0614715391512262	197.938184432136	1.04296412836039e-43	0.884153642840496	2.29571178375676	98.9895835380436	98.9690922160681	0.600085022927094	1	0.221787212329533	3
ENSG00000136267	DGKB	-0.122203657710769	2.57971808726912	5.28163983224901	0.0613010301221566	397.067647409694	5.99592088566737e-87	1.37855683384608	5.64482221838164	99.4963074899083	198.533823704847	0.600085022927094	1	0.221787212329533	3
ENSG00000185033	SEMA4B	-0.0949227610195791	1.96962971249915	4.03418218601788	0.0615046604107301	306.664385388713	2.56256455475002e-67	1.05336245451634	3.27942109498851	99.3478212354314	153.332192694356	0.600085022927094	1	0.221787212329533	3
ENSG00000145982	FARS2	-3.16576993119489	-1.54394753533942	0.0778748605160482	0.062061988266044	46.6775606039107	7.31301561100695e-11	0.827475611107243	1.86070335522997	95.7152859444149	23.3387803019554	0.600284902822469	1	0.221642579021842	3
ENSG00000158270	COLEC12	-0.118496862884418	2.3165265909085	4.75155004470142	0.0622395693103439	40.6616652842915	1.48057895160514e-09	1.2423817340523	4.06143666528562	95.0813622953789	20.3308326421457	0.601398144453544	1	0.2208379162003	3
ENSG00000173064	HECTD4	-0.0900216806315794	1.74021132681825	3.57044433426809	0.0623833271153281	72.4378761814768	1.86343842581379e-16	0.933809509708586	2.41642517723798	97.2390134755063	36.2189380907384	0.601502875651771	1	0.220762292053628	3
ENSG00000245532	NEAT1	-0.0576432400052187	1.08761463305776	2.23287250612073	0.0626997243782597	98.1426890906007	4.88186588645701e-22	0.584325978485638	0.984806321656451	97.9621508045763	49.0713445453004	0.603268219815205	1	0.219489552725081	3
ENSG00000168916	ZNF608	-0.145135172429115	2.68894973973788	5.52303465190488	0.0629431213461211	61.9171988661369	3.58798896566704e-14	1.44598826025473	5.95441518407927	96.7698797157734	30.9585994330685	0.604752877137254	1	0.2184220567869	3
ENSG00000104388	RAB2A	-0.0435208133217193	0.79591432120986	1.63534945574144	0.0631194761587094	75.2883691253773	4.48062263685239e-17	0.428291101853369	0.520367657861599	97.3435471863265	37.6441845626887	0.604927393711873	1	0.218296748326954	3
ENSG00000213160	KLHL23	-0.0463690591447351	0.854420483383978	1.75521002591269	0.0630168141242205	177.958178649931	2.27442961389924e-39	0.459594946455152	0.618653370045048	98.876140442	88.9790893249653	0.604927393711873	1	0.218296748326954	3
ENSG00000261115	TMEM178B	-0.143830933528442	2.64075926573961	5.42534946500766	0.0630658410179794	40.0568775847447	2.00336255155215e-09	1.42073539168706	5.58470358886923	95.0070996028865	20.0284387923724	0.604927393711873	1	0.218296748326954	3
ENSG00000074657	ZNF532	-0.0814947623404643	1.4738924673247	3.02927969698986	0.063272557141494	26.6285809093683	1.65073410861592e-06	0.793579495303923	1.49354516576157	92.4892730603741	13.3142904546841	0.605347593906218	1	0.21799517945228	3
ENSG00000152990	ADGRA3	-0.0985671288276162	1.72250323294732	3.54357359472226	0.0637564573123085	8.64629222331021	0.0132581063760936	0.929134604584221	1.93989938354212	76.8686976064949	4.3231461116551	0.606006649444988	1	0.217522610484832	3
ENSG00000155897	ADCY8	-0.145242615111188	2.53455184774669	5.21434631060457	0.0637769990065787	231.751103203385	4.74118991443845e-51	1.36726719674226	5.52403099338107	99.1370051868772	115.875551601692	0.606006649444988	1	0.217522610484832	3
ENSG00000182175	RGMA	-0.213720797342036	3.791999798634	7.79772039461004	0.0635402302574984	297.789430151526	2.16693985855696e-65	2.04377255274722	12.4146399861415	99.3283844900129	148.894715075763	0.606006649444988	1	0.217522610484832	3
ENSG00000121741	ZMYM2	-0.156250391072477	2.56421186453396	5.28467412014039	0.0646902042871937	75.7227441596057	3.60591120808443e-17	1.388016451866	5.46503417709885	97.3587856301345	37.8613720798028	0.609095635796413	1	0.215314512231177	3
ENSG00000151012	SLC7A11	-0.142277017337648	2.29303935230813	4.7283557219539	0.0649709147481301	24.4469805959108	4.91366579012681e-06	1.24253118366217	4.05552428488692	91.8190306072623	12.2234902979554	0.610834583532281	1	0.214076382532365	3
ENSG00000089177	KIF16B	-0.0732837040998628	1.17313660015387	2.4195569044076	0.0650772265536651	99.4361279565115	2.55693191133147e-22	0.635940412214375	1.15739871034141	97.9886586081925	49.7180639782557	0.61091044336613	1	0.214022450645506	3
